ID;Nombre;Nombre Centro Control;Nombre Propietario;Nombre Coordinado;Número;Nemotecnico;Descripcion;Región;Provincia;Comuna;5.1 Barras por nivel de tensión y su respectiva capacidad térmica, en función de la T° ambiente y T° conductor (Tabla de Relación Corriente – Temperatura);5.2 Tipo de configuración (barra simple, barra doble, interruptor y medio, etc.);5.3 Equipos de transformación;5.4 Interruptores (especificar si corresponden a interruptores de paño de línea, seccionadores de barra, de transferencia, u otros);5.5 Desconectadores;5.6 Conexiones de puesta a tierra. Indicar si la subestación posee conexiones y sus ubicaciones;5.7 Equipos de medida;5.8 Equipos de sincronización;5.9 Equipos de comunicaciones;5.10 Sistemas de protección;5.11 Transformadores de medida (corriente y tensión);5.12 Pararrayos;5.13 Fecha de entrada en operación;Coordenada Este;Coordenada Norte;Zona o Huso [Ej: 18H-19J etc.];1 Diagrama unilineal, señalando capacidad nominal de equipos primarios  (*.dwg y *.pdf);2 Plano de planta y elevación de la subestación (*dwg y *. pdf);3 Plano de la malla de tierra: aérea y subterránea (*dwg y *.pdf);4 Diagramas unilineales de los servicios auxiliares de CA y CC (*.dwg y *.pdf);5 Disposición de equipos en sala de servicios generales.
211;S/E YUNGAY;CENTRAL CARDONES S.A.;CENTRAL YUNGAY S.A.;CENTRAL YUNGAY S.A.;1;SE001G0598;;BÍO BÍO;BÍO BÍO;CABRERO;"ID 112 BA S/E YUNGAY 154KV BP1; ID 113 BA S/E YUNGAY 110KV BP1; ID 1373 BA S/E YUNGAY 11.5KV; ID 1374 BA S/E YUNGAY 10.5KV";BARRA SIMPLE;SI;SI;SI;SI;SI;SI;NO;"ID 1031 SP S/E YUNGAY ATG1;  ID 1032 SP S/E YUNGAY ATG2; ID 1033 SP S/E YUNGAY ATG3; ID 22801 SP S/E YUNGAY ATG1-S1;  ID 22802 SP S/E YUNGAY ATG1-S2; ID 22803 SP S/E YUNGAY ATG2-S1; ID 22804 SP S/E YUNGAY ATG2-S2; ID 22805 SP S/E YUNGAY ATG3-S1; ID 22806 SP S/E YUNGAY ATG3-S2; ID 22807 SP S/E YUNGAY ATG4; ID 22808 SP S/E YUNGAY HTV-S1; ID 22809 SP S/E YUNGAY HTV-S2; ID 22810 SP S/E YUNGAY TV4; ID 22811 SP S/E YUNGAY HTG-S1; ID 22812 SP S/E YUNGAY HTG-S2; ID 22813 SP S/E YUNGAY TG4";SI;SI;01/01/2007 12:00:00 a.m.;740489;5890053;18H;ANEXO 1 - UNILINEAL CENTRAL TERMICA YUNGAY-unilineal;"ANEXO 2 - Plano de planta de la subestacion; ANEXO 2 - Plano de elevacion de la subestacion";ANEXO 3 - Plano de la malla de tierra;"ANEXO 4 - Diagrama unilineal de SSAA de CA; ANEXO 4 - Diagrama unilineal de SSAA de CC";ANEXO 5 - Disposicion de equipos de servicios generales
212;S/E CENTRAL CARDONES;CENTRAL CARDONES S.A.;CENTRAL CARDONES S.A.;CENTRAL CARDONES S.A.;1;SE001G0047;;ATACAMA;COPIAPÓ;COPIAPÓ;"ID3696 - BA S/E CENTRAL CARDONES 15KV BP1; ID3697 - BA S/E CENTRAL CARDONES 220KV BP1";BARRA SIMPLE;NO;SI;SI;SI;SI;NO;NO;Sistemas de protección;SI;SI;06-05-09;363125,7684;6958682,407;19J;Anexo 3;Anexo 4;Anexo 5;Anexo 6;Anexo 7
213;S/E PLANTA CONSTITUCION;ARAUCO BIOENERGÍA SPA;CELULOSA ARAUCO Y CONSTITUCIÓN S.A.;ARAUCO BIOENERGÍA SPA;1;SE001L0089;;MAULE;TALCA;CONSTITUCIÓN;En anexo;BARRA SIMPLE;SI;SI;SI;SI;SI;SI;SI;En anexo;SI;SI;01-01-1997;734735;6087858;18H;A1-92953417-4-77-03 Diagrama Unilineal Planta Constitución (.dwg y .pdf);A1-1133-365-3-210 Plano de Elevación SE Planta Constitución (.dwg y .pdf);A1-1133-365-3-132 Plano de Malla de Tierra SE Planta Constitución (.dwg y .pdf);A1-91596883-4-77-02 Diagrama Unilineal TDCC Planta Constitución (.dwg y .pdf), A1-91596883-4-77-03 Diagrama Unilineal TDCA Planta Constitución (.dwg y .pdf);Disposición de Equipos Sala Eléctrica SE Planta Constitución (.dwg y .pdf)
214;S/E PLANTA ARAUCO;ARAUCO BIOENERGÍA SPA;CELULOSA ARAUCO Y CONSTITUCIÓN S.A.;ARAUCO BIOENERGÍA SPA;2;SE002L0089;;BÍO BÍO;ARAUCO;ARAUCO;En anexo;BARRA SIMPLE;SI;SI;SI;SI;SI;NO;SI;En anexo;SI;SI;01/01/1969;657616;5880400;18H;A1-2571-168-03-220 Diagrama Unilineal SE Planta Arauco (.dwg y .pdf);A1-93363707-069-3-209 Plano de Planta SE Planta Arauco (.dwg y .pdf), A1-93363707-069-3-210 Plano de Elevación SE Planta Arauco (T3 y T4) (.dwg y .pdf), A1-93363707-069-3-211 Plano de Elevación SE Planta Arauco (T1 y T2) (.dwg y .pdf);A1-93363707-069-3-214 Plano de Malla de Tierra SE Planta Arauco (.dwg y .pdf);Diagrama Unilineal de CA SE Planta Arauco (.dwg y .pdf), Diagrama Unilineal de CC SE Planta Arauco (.dwg y .pdf);Disposición de Equipos Sala Eléctrica SE Planta Arauco (.dwg y .pdf)
215;S/E PLANTA VALDIVIA;ARAUCO BIOENERGÍA SPA;CELULOSA ARAUCO Y CONSTITUCIÓN S.A.;ARAUCO BIOENERGÍA SPA;3;SE003L0089;;DE LOS RÍOS;VALDIVIA;MARIQUINA;En anexo;BARRA SIMPLE;SI;SI;SI;SI;SI;SI;SI;En anexo;SI;SI;25-06-05;680191;5618452;18H;A1-3018-368-03-220 Diagrama Funcional de Protección SE Planta Vadivia (.dwg y .pdf), A1-3018-368-03-221 Diagrama Funcional de Protección SE Planta Vadivia (.dwg y .pdf);A1-3018-368-03-200 Plano de Planta SE Planta Valdivia (.dwg y .pdf), A1-3018-368-03-201 Plano de Elevación SE Planta Valdivia (.dwg y .pdf);A1-3018-368-03-010 Plano de Malla de Tierra SE Planta Valdivia (.dwg y .pdf);A1-3018-368-03-222 Diagrama Unilineal TDCA SE Planta Valdivia.pdf, A1-3018-368-03-223 Diagrama Unilineal TDCC SE Planta Valdivia.pdf, A1-3018-368-03-224 Diagrama Unilineal TDCC SE Planta Valdivia (.dwg y .pdf);A1-3018-368-03-203 Disposición de Equipos Sala Eléctrica SE Planta Valdivia (.dwg y .pdf), A1-3018-368-03-204 Disposición de Equipos Sala Eléctrica SE Planta Valdivia (.dwg y .pdf)
216;S/E NUEVA ALDEA;ARAUCO BIOENERGÍA SPA;CELULOSA ARAUCO Y CONSTITUCIÓN S.A.;ARAUCO BIOENERGÍA SPA;4;SE004L0089;;ÑUBLE;ITATA;RÁNQUIL;Hoja técnica conductor;BARRA SIMPLE;SI;SI;SI;SI;SI;SI;SI;Si, en anexo;SI;SI;01–05–06;725415,63;5939726,15;18H;A0-568-03-6087 Diagrama Unilineal Funcional SE Nueva Aldea (.dwg y .pdf);A0-2700-568-03-2001 Plano de Planta SE Nueva Aldea (.dwg y .pdf), A1-568-03-2003 Plano de Elevación SE Nueva Aldea (.dwg y .pdf), A1-2700-568-03-2002 Plano de Elevación SE Nueva Aldea (.dwg y .pdf);0512-EE-003 Plano de Malla de Tierra SE Nueva Aldea (.dwg y .pdf);A1-2700-568-03-6002 Diagrama Unilineal TDCA SE Nueva Aldea (.dwg y .pdf), A1-2700-568-03-6003 Diagrama Unilineal TDCC SE Nueva Aldea (.dwg y .pdf);A1-568-03-2010 Disposición de Equipos Sala Eléctrica SE Nueva Aldea (.dwg y .pdf)
218;S/E CENTRAL LICANTEN;ARAUCO BIOENERGÍA SPA;CELULOSA ARAUCO Y CONSTITUCIÓN S.A.;ARAUCO BIOENERGÍA SPA;6;SE006L0089;;MAULE;CURICÓ;LICANTÉN;En anexo;BARRA SIMPLE;SI;SI;SI;SI;SI;NO;SI;En anexo;SI;SI;28-04-02;772373;6124428;18H;A1-1813-281-3-601 Diagrama Unilineal SE Planta Licancel (.dwg y .pdf);A1-1813-281-3-202 Plano de Planta SE Planta Licancel (.dwg y .pdf), A1-1813-281-3-204 Plano de Elevación SE Planta Licancel (.dwg y .pdf);A1-1813-281-3-131 Plano de Malla de Tierra SE Planta Licancel (.dwg y .pdf);A1-1813-281-3-602 Diagrama Unilineal TDCA y TDCC SE Planta Licancel (.dwg y .pdf);Disposición de Equipos Sala Eléctrica SE Planta Licancel (.dwg y .pdf)
219;S/E CENTRAL ANTILHUE;COLBÚN S.A.;GENERADORA ANTILHUE SPA;COLBÚN S.A.;11;SE011G0003;;DE LOS RÍOS;VALDIVIA;VALDIVIA;"""ID12-BA S/E CENTRAL ANTILHUE 11.5KV ID13-BA S/E CENTRAL ANTILHUE 220KV BP1""";BARRA SIMPLE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;07/01/2005 12:00:00 A.M.;655309,27;5592720,63;18H;DU SE ANTILHUE / DU Funcional CT Antilhue;Plano Planta Central Antilhue Disposición Equipos;"""Plano de la Malla de Tierra Aérea y Subterránea; Detalle Malla Puesta a Tierra Central Antilhue L07""";Diagrama SSAA CA TG2;"""Disposición de Equipos Patio 220kV Corte F y H; Disposición de Equipos Patio 220kV Planta"""
220;S/E CENTRAL CANUTILLAR;COLBÚN S.A.;COLBÚN S.A.;COLBÚN S.A.;8;SE008G0004;;DE LOS LAGOS;LLANQUIHUE;COCHAMÓ;"ID 27 – BA S/E CENTRAL CANUTILLAR 13,8 kV B1; ID 28 – BA S/E CENTRAL CANUTILLAR 13,8 kV B2";BARRA SIMPLE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;1990;721766;5399152;18G;Anexo 1-DU-Funcional-SE Central Canutillar-13,8kV;;"Anexo 3-Plano de malla a tierra; aérea; subterránea-SE Central Canutillar";"Anexo 4-DU-SSAA-CA; CC-SE Central Canutillar";
221;S/E CANDELARIA;CELEO REDES CHILE LTDA;ALFA TRANSMISORA DE ENERGÍA S.A.;ALFA TRANSMISORA DE ENERGÍA S.A.;1;SE001T0061;;LIBERTADOR GENERAL BERNARDO OHIGGINS;CACHAPOAL;MOSTAZAL;Capacidad Térmica Barra ACAR 1400 MCM SE Candelaria;Barra doble;SI;SI;SI;SCA 13-5-03e-001L1-Disp.Grl.Subt-R0;SI;SI;SI;SPN-SE31-5-e1-IF-006_3 Estudio de Coordinacion y Ajuste de Protecciones;SI;SI;01/01/2002 12:00:00 A.M.;351217,17;6232917;19H;Anexo 1-DU-Funcional-SE Candelaria 220kV;Anexo 2-Plano de planta y elevación-SE Candelaria 220kV;"Anexo 3-Plano de malla a tierra; aérea; subterránea-SE Candelaria 220kV";DU SSAA  CA y CC;SCA 13-5-04e-001L4-Sala.Unit.& Edif.Comando-R0
222;S/E CENTRAL CANDELARIA;COLBÚN S.A.;COLBÚN S.A.;COLBÚN S.A.;2;SE002G0004;;LIBERTADOR GENERAL BERNARDO OHIGGINS;CACHAPOAL;MOSTAZAL;no aplica;BARRA SIMPLE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;01-01-2005 0:00:00;351019,9802;6232915,014;19H;Anexo 1-DU-Funcional-SE Central Candelaria-15kV-220kV;Anexo 2-Plano de planta-SE Central Candelaria-15kV-220kV;"Anexo 3-Plano de malla a tierra; subterránea-SE Central Candelaria";;
223;S/E COLBUN;CELEO REDES CHILE LTDA;ALFA TRANSMISORA DE ENERGÍA S.A.;ALFA TRANSMISORA DE ENERGÍA S.A.;3;SE003T0061;;MAULE;LINARES;COLBÚN;Capacidad Térmica Barra Anemone SE Colbun;Configuracion de anillo;SI;SI;SI;SE Colbún Malla Puesta a Tierra;SI;SI;SI;SPN-SE31-5-e1-IF-006_3 Estudio de Coordinacion y Ajuste de Protecciones;SI;SI;01/01/1997 12:00:00 A.M.;284870,19;6048282,41;19H;Diagramas Unilineales SE Colbún/DU Funcional SE Colbun_1/DU Funcional SE Colbun_2;Disposición de Equipos y Cortes - Planta / Disposición de Equipos y Cortes - Elevación;SE Colbún Malla Puesta a Tierra;Diagramas Unilineales SSAA CA y CC;Disposicion de Equipos
224;S/E CENTRAL MACHICURA;COLBÚN S.A.;COLBÚN S.A.;COLBÚN S.A.;4;SE004G0004;;MAULE;LINARES;COLBÚN;ID 33 – BA S/E CENTRAL MACHICURA 220kV BP1;BARRA SIMPLE;SI;SI;SI;NO;SI;SI;SI;SI;SI;SI;01/01/1985 12:00:00 A.M.;283267,65;6043168,63;19H;DU SE MACHICURA/DU Funcional SE y CH Machicura;;;;
225;S/E MAIPO;CELEO REDES CHILE LTDA;ALFA TRANSMISORA DE ENERGÍA S.A.;ALFA TRANSMISORA DE ENERGÍA S.A.;5;SE005T0061;;METROPOLITANA DE SANTIAGO;MAIPO;BUIN;"ID2878 - BA S/E MAIPO 220KV BP1; ID2879 - BA S/E MAIPO 220KV BP2;ID2880 - BA S/E MAIPO 220KV BT";DOBLE BARRA + TRANSFERENCIA;SI;SI;SI;SI;SI;SI;SI;"ID12103-SP S/E MAIPO JBP1/JBP2; ID12104-SP S/E MAIPO J1-S1; ID12105-SP S/E MAIPO J1-S2; ID12106-SP S/E MAIPO J2-S1; ID12107-SP S/E MAIPO J2-S2; ID12108-SP S/E MAIPO J3-S1; ID12109-SP S/E MAIPO J3-S2; ID12110-SP S/E MAIPO JT1-S1; ID12111-SP S/E MAIPO JT1-S2; ID12112-SP S/E MAIPO JCP1; ID12114-SP S/E MAIPO JCP2, ID12116-SP S/E MAIPO JCP3; ID12118-SP S/E MAIPO JCP4; ID12120-SP S/E MAIPO JS";SI;SI;01/01/1997 12:00:00 A.M.;343244,85;6268036,99;19H;Anexo 1-DU-Funcional-SE Maipo-110kV-220kV;Anexo 2-Plano de planta y elevación-SE Maipo-110kV-220kV;"Anexo 3-Plano de malla a tierra; aérea; subterránea-SE Maipo";"Anexo 4-DU-SSAA-CA; CC-SE Maipo";Anexo 5-Disposición de equipos SSG-SE Maipo
